0.001850	3.131454
0.001637	3.127140
0.002022	3.121887
0.001218	3.155278
0.002059	3.141397
0.001927	3.127890
0.002232	3.149275
0.000813	3.149275
0.001955	3.140459
0.002066	3.131454
0.001987	3.139708
0.004097	3.148713
0.002205	3.146462
0.001989	3.165033
0.001898	3.159593
0.001928	3.164470
0.001946	3.150776
0.001907	3.137832
0.001926	3.148900
0.000813	3.149651
0.001940	3.151527
0.001942	3.124513
0.001921	3.149651
0.001929	3.141772
0.000813	3.146837
0.001945	3.146086
0.001892	3.127890
0.001397	3.136144
0.001985	3.133893
0.003311	3.138583
